分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,东吴证券-永辉超市-601933-拟定增融资40亿元，主要用于支持门店调改-250731,"投资要点
　　事件：7月30日，公司披露2025年度向特定对象发行A股股票预案，拟向不超过35名特定投资者发行股票，融资39.9亿元。本次发行股票数量不超过增发前公司总股本的3...",吴劲草，阳靖,增持,4,2025-07-30,vm1****85,1,2025-07-30 19:06:00,,
投研资讯,东方证券-朗新集团-300682-能源数字化领先者，全面拥抱AI、区块链新技术-250730,"事件：
　　近期，朗新集团正式向全球首发自主研发的“朗新九功AI能源大模型”（简称“朗新九功”），该模型数据智能体在BIRD-Bench国际评测基准中斩获双榜冠军。
　　点评：...",浦俊懿，陈超，宋鑫宇,买入,5,2025-07-30,fgrg******335,1,2025-07-30 19:06:00,,
投研资讯,东吴证券-华能国际-600011-2025半年报点评：超市场预期，关注火电资本开支下行周期下资产质量改善-250730,"投资要点
　　事件：公司发布2025年半年报，2025年上半年公司实现营业收入1120.32亿元，同比-5.7%；实现归母净利润92.62亿元，同比+24.3%，超市场预期。
...",袁理，唐亚辉,买入,3,2025-07-30,745****10,1,2025-07-30 19:06:00,,
投研资讯,东吴证券-菲利华-300395-股权激励绑定核心人才与公司长期利益，进一步健全长效激励机制-250730,"事件：7月26日，公司发布2025年限制性股票激励计划（草案）。
　　投资要点
　　菲利华公司深耕石英玻璃材料与制品领域：主营业务涵盖石英玻璃锭、管、棒、板及石英玻璃纤维、复合...",苏立赞，许牧，高正泰,买入,3,2025-07-30,pi***1,1,2025-07-30 19:06:00,,
投研资讯,东兴证券-科达利-002850-锂电结构件龙头，拓展人形机器人第二曲线-250730,全球领先的锂电池精密结构件企业。科达利成立于1996年，产品主要分为锂电池精密结构件、汽车结构件两大类，其中锂电池结构件业务在营收中占比超95%，是公司主要业绩来源。公司坚持定...,洪一，侯河清，吴征洋,强烈推荐（首次）,16,2025-07-30,wyc****33,1,2025-07-30 19:06:00,,
投研资讯,国信证券-药明康德-603259-2025年半年报点评：TIDES业务高速增长，2025年二季度增长提速-250730,"核心观点
　　 2025年二季度增长提速。2025上半年公司实现营业收入207.99亿元（+20.6%，持续经营业务收入+24.2%）；归母净利润85.61亿元（+101.9%...",彭思宇，陈曦炳，凌珑,优于大市,8,2025-07-30,侯**辉,1,2025-07-30 19:06:00,,
投研资讯,太平洋证券-国邦医药-605507-Q2业绩符合市场预期，动保产品市占率持续提升-250729,"事件
　　2025年7月29日，公司发布2025年半年报，2025H1公司实现营业收入30.26亿元（YoY+4.63%），归母净利润4.56亿元（YoY+12.60%），扣非...",周豫，乔露阳,买入,5,2025-07-30,xia****lu,1,2025-07-30 19:06:00,,
投研资讯,东方证券-甘李药业-603087-创新药数据频出，GZR18降糖效果亮眼-250730,"核心观点
　　创新管线数据读出，中长期增长力不断丰富。公司研发开支行业领先，2025年以来有多款重磅产品逐步披露II期临床数据，其中GZR18（博凡格鲁肽）降糖效果优异，胰岛素...",伍云飞，赵博宇,买入,5,2025-07-30,lj***2,1,2025-07-30 19:06:00,,
投研资讯,华鑫证券-天龙股份-603266-公司动态研究报告：深耕塑料精密制造，汽车电子+轻量化双驱动-250730,"▌聚焦汽车电子零部件和轻量化结构件
　　公司深耕塑料精密制造，拥有“精密模具、注塑、冲压、装配”一站式能力，产品主要覆盖汽车和电工电器两大领域，其中，汽车零部件领域主要涉及汽车...",张涵，林子健，傅鸿浩,买入（首次）,5,2025-07-30,jak****hh,1,2025-07-30 19:06:00,,
投研资讯,华金证券-生益科技-600183-AI浪潮下，PCB&覆铜板业务有望持续增长-250730,"投资要点
　　覆铜板营收增加&子公司生益电子业绩大幅增长，共促公司业绩提升。根据公司2025年半年度业绩预增公告，2025H1，预计公司实现归母利润14.00亿元-14.50亿...",熊军，宋鹏,增持（首次）,8,2025-07-30,wanc******222,1,2025-07-30 19:06:00,,
投研资讯,国投证券-诚意药业-603811-氨糖续约后稳健放量，神经酸创新推动研发渐入佳境-250730,"盐酸氨基葡萄糖胶囊：通过集采扩大市场覆盖，销售精细化管理推动终端放量
　　关节软骨保护剂用药需求持续提升，推动国内氨糖制剂的市场规模稳步增长。公司顺应行业趋势，借助医院终端集采...",冯俊曦,买入-A（首次）,22,2025-07-30,dus****hk,1,2025-07-30 19:06:00,,
