分类,研报标题,类型,评级,分享时间,来源页,抓取时间,摘要,作者,页数,日期,分享者
今日热门,东吴证券-纽威股份-603699-25H1快报点评：Q2归母净利润同比+28%超预期，盈利能力稳健增长-250807,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,德邦证券-基础化工行业点评：供应缩量&外需强劲，甲酸价格快速上行-250807,行业分析,优于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,联合资信-2025年上半年房地产行业信用风险总结及展望-250806,行业分析,,2025-08-06,2,2025-08-07 09:12:28,,,,,
今日热门,德邦证券-宏观专题：超级宏观周后，美国后市展望-250807,宏观经济,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华安证券-银行放大镜系列1：中报分红将在今年底和明年初显著提升股息率-250806,投资策略,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国信证券-机械行业8月投资策略：中报行情展开，重点关注AI基建、人形机器人等成长板块-250807,行业分析,优于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,东吴证券-海光信息-688041-2025年中报点评：Q2业绩高增，重视国产算力机遇-250807,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,光大证券-建筑建材及新兴产业行业：基础设施公募REITs估值跟踪-250806,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,民生证券-洞鉴光伏行业·8月刊：“反内卷”持续发酵，光伏底部反转节点来临-250807,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国信证券（香港）-中信银行-601998-零售战略推进，对公根基深厚-250806,公司调研,优于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,东吴证券-电子行业点评报告：AI ASIC，海外大厂视角下，定制芯片的业务模式与景气度展望-250807,行业分析,增持,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华宝证券-银行业理财周度跟踪：债市情绪边际改善，银行理财产品收益普遍回暖-250806,行业分析,,2025-08-06,2,2025-08-07 09:12:28,,,,,
今日热门,华安证券-中报分红将在今年底和明年初显著提升股息率—银行放大镜系列1-250806,投资策略,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国信证券-九号公司-689009-2025年上半年利润高增长，电动两轮车、割草机等业务打开成长空间-250807,公司调研,优于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华鑫证券-计算机行业周报：Figma云端设计协同领航，全球首款通用AI科研智能体问世-250807,行业分析,推荐,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国家金融与发展实验室-NIFD季报：中国金融监管，持续优化金融监管，助力经济健康发展-250731,宏观经济,李扬,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国信证券-政府债周报：特殊新增专项债已超过八千亿-250807,宏观经济,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,天风证券-可转债定期策略：8月，转债高估值何去？-250807,债券研究,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华福证券-浦发银行-600000-2025年半年度业绩快报点评：利润增速显著提升-250807,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,长城证券-电力设备及新能源行业周报：本周电解槽中标项目有所突破，多地发布氢能支持政策-250807,行业分析,强于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,Capgemini-人工智能行业驱动的ERP的未来（英译中）-250807,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,长城证券-电力及公用事业行业周报（7.28~8.1）：山东、宁夏发布136号文承接方案，广东省煤电容量电价上调-250807,行业分析,强于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,东海证券-燕京啤酒-000729-公司深度报告：内外兼修，焕发新机-250807,公司调研,买入（首次）,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国金证券-仙鹤股份-603733-抢先布局竹浆产业链，林浆纸一体化布局卓有成效-250807,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,财信证券-威胜信息-688100-业绩稳健增长，海外产能相继投产-250731,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,艾昆纬-人工智能行业超越自动化：战略LQPPV外包如何使光伏合规在AI时代具备前瞻性（英译中）-250807,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,世界银行-泰国经济监测，2025年7月：数字增长之路（英译中）-250731,宏观经济,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,长城证券-比亚迪-002594-海外销量1~7月累计超50万辆，近期产销数据表明公司已主动降库，积极响应国家反内卷号召-250807,公司调研,增持,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,江海证券-自动化设备行业：世界机器人大会召开在即，持续关注人形机器人商业化进程-250807,行业分析,增持（上调）,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华福证券-传媒行业：AI UGC，“Coding+多模态”重估平台价值-250807,行业分析,强于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,第一创业-食品行业：阿洛酮糖正式被批准为新食品原料，市场空间或将打开-250807,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,申港证券-电力设备行业研究周报：光伏供给侧改革持续推进，行业盈利有望开启向上周期-250806,行业分析,增持,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华鑫证券-基础化工行业：环氧氯丙烷、（磷酸）五氧化二磷等涨幅居前，建议关注进口替代、纯内需、高股息等方向-250807,行业分析,推荐,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,开源证券-中宠股份-002891-公司信息更新报告：营收及利润大幅提升，境内销售增长亮眼-250807,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国信证券-电力设备新能源行业点评：苹果承诺加码美国本土投资，重视钢壳电池放量新周期-250807,行业分析,优于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华西证券-有色金属行业~海外季报：巴林铝业2025Q2铝产/销量环比增长1.5%/9.7%至40.29/41.4万吨，利润环比增长36%至6530万美元-250807,行业分析,推荐,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,开源证券-海光信息-688041-公司信息更新报告：产品商业化加速，拟吸收合并中科曙光加强产业整合-250807,公司调研,买入,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,长城证券-汽车行业周报：理想纯电SUV i8正式上市，7月前四周乘用车零售同比+9%-250807,行业分析,强于大市,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,世界卫生组织-公共卫生行业：加强呼吸道病毒免疫覆盖率监测手册草案（英译中）-250804,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,艾昆纬-医药行业：对药品安全领域的人工智能治理提出更高要求（英译中）-250806,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国元证券-显示玻璃基板行业深度报告：国产玻璃基板技术破局，本土替代提速-250807,行业分析,推荐（首次）,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,东方证券-涪陵榨菜-002507-稳健扩产、推新加快，涪陵榨菜守稳主业、拓宽边界-250807,公司调研,增持（下调）,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,世界银行-柬埔寨经济更新2025年6月：应对不确定性，为柬埔寨的未来增加收入（英译中）-250807,宏观经济,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,国金证券-超长信用债探微跟踪：边际修复的超长信用债-250806,债券研究,,2025-08-06,2,2025-08-07 09:12:28,,,,,
今日热门,国金证券-债市基本面高频数据跟踪：钢材累库速度加快——2025年8月第1周-250806,债券研究,,2025-08-06,2,2025-08-07 09:12:28,,,,,
今日热门,国金证券-审批视角看城投：城投债的融资宽松与结构收紧-250806,债券研究,,2025-08-06,2,2025-08-07 09:12:28,,,,,
今日热门,华西证券-有色金属行业~海外季报：Anglo Gold 2025Q2黄金总产量/销量分别环比增加11.7%/8.7%至25.01吨/24.91吨，归母净利润环比增长51.0%至6.69亿美元-250807,行业分析,推荐,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,亚开行-乳制品行业从牧场到市场：乳制品收集中心如何提高蒙古农民的收入（英译中）-250731,行业分析,,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华西证券-有色金属行业~海外季报：Ball Corporation 2025Q2净销售额环比增长7.8%至33.38亿美元，净利润环比增长20.1%至2.15亿美元-250807,行业分析,推荐,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,华西证券-有色金属行业~海外季报：韦丹塔2025Q2原铝产量同比增长1%至60.5万吨，税后利润同比下降13%至445.7亿印度卢比-250807,行业分析,推荐,2025-08-07,2,2025-08-07 09:12:28,,,,,
今日热门,山西证券-非银行金融行业周报：债券增税对行业影响有限，期货市场推动“反内卷”-250807,行业分析,领先大市-A,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,国金证券-信用债异常成交跟踪：8月6日信用债异常成交跟踪-250806,债券研究,,2025-08-06,3,2025-08-07 09:12:29,,,,,
今日热门,中邮证券-中宠股份-002891-自主品牌势能延续，海外布局领先行业-250807,公司调研,买入,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,华西证券-2025信用月报之七：8月起，信用债保持流动性-250807,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,江海证券-传媒行业：AI应用又迎新催化，继续推荐-250807,行业分析,增持,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,太平洋证券-非银行业周报（0728~0803）：境外利润再投资抵免规则细化，险资入市持续推进-250806,行业分析,看好,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,东方金诚-2025年7月贸易数据解读：7月外贸数据超预期，后期面临较大下行压力-250807,宏观经济,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,太平洋证券-医药行业日报：UroGen丝裂霉素溶液Zusduri三期临床成功-250806,行业分析,看好,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,HotelTechReport-2025年物业管理行业系统终极买家指南（英译中）-250807,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,山西证券-迪普科技-300768-上半年收入稳健增长，加快布局AI及算力网络新业务-250807,公司调研,买入-A,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,国信证券-华能国际-600011-火电龙头受益容量电价，现金流改善提升分红预期-250807,公司调研,优于大市,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,太平洋证券-银行业周报（0728~0803）：国债利息收入增值税恢复，适度宽松货币政策基调延续-250806,行业分析,看好,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,国金证券-债市读心术-250801,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,东方金诚-美债专题跟踪：美7月非农数据遭遇“滑铁卢”，10年期美债收益率大幅下行-250801,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,华西证券-有色金属行业~海外季报：Energy fuels 2025Q2共生产18万磅U3O8，预计2025年成品U3O8计划产量最多约为100万磅-250807,行业分析,推荐,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,华西证券-有色金属行业~海外季报：PTANTAM TBK 2025Q2镍铁产/销量分别环比增长2%、下降81%至4，569吨、924吨，镍矿石产/销量分别环比下降3%、增长14%至447万湿吨、437万湿吨-250807,行业分析,推荐,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,太平洋证券-房地产行业日报：南通成功出让6宗宅地-250806,行业分析,中性,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,财信证券-经济金融高频数据周报-250804,投资策略,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,光大证券-海康威视-002415-跟踪报告之五：25Q2延续高增长，毛利率验证高质量增长-250807,公司调研,买入,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,联合资信-2025年上半年地方资产管理公司行业分析-250807,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,国元证券-海康威视-002415-2025年半年度报告点评：以利润为经营核心，创新业务占比提升-250807,公司调研,买入,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,慧博智能投研-慧博研报炼金之研报头条精华：美国经济成色究竟如何？-250807,投资策略,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,财信证券-可转债周报：转债短期或震荡，关注结构性机会-250804,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-房地产行业代建双周报：上半年绿城管理拓展面积同比增13.9%，旭辉建管布局城市超80个-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,联合国-毛里塔尼亚公共债务和债务优化战略（英译中）-250807,债券研究,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-房地产行业：2025上半年十大品质作品产品趋势解析-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-房地产行业：2025上半年十大轻奢作品产品趋势解析-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-中国房地产行业土地周报：供求规模周期性下降，溢价率升至年内均线-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,大公国际-从“2014”到“2025”：数字人民币发展取得新进展-250805,宏观经济,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-中国房地产行业市场月报8P：6月新房供应微增、成交微降，地市量价齐增-250807,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-房地产行业：2025年6月月度优秀项目-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-房地产行业：2025上半年十大高端作品产品趋势解析-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-中国房地产行业土地周报：成交规模维持低位，深圳刷新楼板价纪录-250806,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,粤开证券-粤开市场日报-250807,投资策略,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,山西证券-中宠股份-002891-国内业务保持高增，品牌出海值得期待-250807,公司调研,增持-A,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,克而瑞研究中心-中国房地产行业研报：专项债发行快报，7月发行1020亿地产类债券，七成投向土地储备-250731,行业分析,,2025-08-07,3,2025-08-07 09:12:29,,,,,
今日热门,江海证券-捷昌驱动-603583-线性驱动系统领域领先企业，携手灵巧智能布局人形机器人赛道——成功打开第二成长曲线（首次覆盖）-250807,公司调研,增持（首次）,2025-08-07,3,2025-08-07 09:12:29,,,,,
