研报标题,摘要,评级,分享时间
天风证券-科兴制药-688136-2025H1早研管线发力，外销持续增长-250927,"事件
　　公司实现营业收入7亿元，同比下降7.82%，主要系国内集采因素影响，公司实现净利润0.8亿元，同比增长576.45%，扣非净利润0.45亿元，同比增长110.30%。...",买入,2025-09-28
天风证券-艾迪药业-688488-2025H1扭亏为盈，HIV上市产品积极放量，HIV在研管线持续丰富-250927,"事件
　　公司发布2025年半年报，2025H1营业收入为3.62亿元，同比增长100.19%；归母净利润919万元，同比扭亏为盈；扣非归母净利润为-511万元，亏损大幅收窄。...",买入,2025-09-28
天风证券-烽火通信-600498-拟回购股份彰显未来发展信心，各领域持续推进保持行业竞争力-250927,"事件：公司发布《关于以集中竞价方式回购股份的预案》。公司计划使用自有资金或自筹资金，以不低于人民币7,500万元（含）、不超过人民币15,000万元（含）的总金额，通过集中竞价...",增持,2025-09-28
中邮证券-三人行-605168-广告主业稳健修复，切入算力赛道培育新增长点-250928,"事件回顾
　　2025年8月29日，公司发布2025年半年报，2025H1，公司实现营业收入16.57亿元，同比下降13.36%；归母净利润1.44亿元，同比增长10.83%；...",增持（首次）,2025-09-28
东方证券-万业企业-600641-铋加工业务增收增利，半导体设备核心零部件获赋能-250928,开展铋材料加工业务，实现增收增利。全资子公司安徽万导已成为先导科技集团旗下唯一的铋金属深加工及化合物产品的平台。25年上半年，公司铋业务实现销售收入5.25亿元，占总营收的75...,增持,2025-09-28
华鑫证券-诺思兰德-430047-公司动态研究报告：NL003进入审评阶段，产品即将进入收获期-250927,"▌眼科药品持续注入动力，为创新管线输血
　　2025年上半年，公司实现营收0.37亿元，同比增长1.47%；归母净利润为-0.2亿元。公司目前还未有新药上市，眼科药品作为公司核...",买入,2025-09-28
华金证券-药明康德-603259-TIDES爆发驱动业绩超预期，绑定创新药浪潮-250927,2025H1业绩超预期，上调全年业绩指引：2025H1，公司实现营业收入207.99亿元（YoY+20.64%）；实现归母净利润85.61亿元（YoY+101.92%）；实现扣...,买入（首次）,2025-09-28
东吴证券-微导纳米-688147-发布2025年股权激励草案，半导体设备加速放量-250928,半导体收入占比不断提升，订单快速增长。2025上半年公司总营收10.50亿元，同比+33.4%，其中半导体设备收入1.9亿元，同比增长27.2%，占比由2023年的7+%提升至...,增持,2025-09-28
东吴证券-奥特维-688516-子公司松瓷机电推出CVD流化床设备，延伸拓展固态电池领域-250928,硅碳负极为固态电池关键材料，松瓷针对性推出沉积设备。全固态电池作为下一代电池形态，其产业化亟需负极材料体系的同步革新，高性能硅碳负极凭借容量高、循环性能好等优势，被视为推动全固...,买入,2025-09-28
华安证券-佩蒂股份-300673-2025H1毛利率同比大增，1~8月爵宴收入同比高增-250926,"主要观点：
　　2025H1归母净利润7,910万元，同比-19.23%
　　2025H1公司实现收入7.28亿元，同比-13.94%，主要受到关税产生的短期冲击和海外客户订单...",买入,2025-09-28
光大证券-中油工程-600339-公告点评：定增资金募投项目陆续签署合同，深化国际市场开拓-250928,事件：公司发布两则《关于子公司中标项目签署合同的公告》，公司两项已中标项目于近期签署合同：（1）阿联酋LNG输送管线项目，合同金额5.13亿美元，约36.88亿人民币；（2）伊...,增持,2025-09-28
华鑫证券-瑞迈特-301367-公司动态研究报告：业绩符合预期，呼吸机一体化龙头全球战略持续推进-250927,"投资要点
　　▌业绩符合预期，毛利率稳步提升
　　2025年上半年，公司实现营业收入5.44亿元，同比增长42.3%；归母净利润1.31亿元，同比增长42.19%。公司2023...",买入,2025-09-28
华鑫证券-三诺生物-300298-公司动态研究报告：业绩符合预期，CGM海外拓展持续推进-250928,"▌业绩符合预期，市场地位稳固
　　2025上半年，公司实现营业收入22.64亿元，同比增长6.12%；归母公司净利润1.81亿元，同比下降8.52%。截至半年报，公司占据中国5...",买入,2025-09-28
华鑫证券-汇宇制药-688553-公司动态研究报告：业绩符合预期，创新管线持续推进-250927,"投资要点
　　▌公司业绩稳健增长，产品管线持续扩展
　　2025年上半年，公司实现营业收入4.53亿元，同比下降14.86%；实现归母净利润-0.81亿元，同比下降223.78...",买入,2025-09-28
太平洋证券-三羊马-001317-三羊马，2025H1点评，业绩遇压力，探寻新方向-250927,"事件
　　近期，三羊马披露2025半年报。本报告期内，实现营业总收入7.76亿，同比增+48.1%；归母净利-0.13亿，同比减-226%；非经常性损益为0.01亿，经营活动产...",,2025-09-28
华鑫证券-诚益通-300430-公司动态研究报告：康复医疗空间广阔，脑机接口技术有望迎来收获期-250927,"投资要点
　　▌业绩符合预期，下游客户短期需求扰动业绩
　　2025年上半年，公司实现营业收入4.08亿元，同比下降36.65%；归母净利润0.51亿元，同比下降38.76%。...",买入,2025-09-28
华鑫证券-昌红科技-300151-公司动态研究报告：全球合作战略不断深化，医疗与半导体板块持续突破-250927,"投资要点
　　▌业绩符合预期，收入稳步修复
　　2025年上半年，公司实现营业收入4.98亿元，同比增长2.95%；归母净利润0.31亿元，同比下降28.6%；毛利率为24.9...",买入,2025-09-28
华鑫证券-理邦仪器-300206-公司动态研究报告：业绩符合预期，多板块战略持续推进-250927,"▌基数影响逐步出清，业绩稳步向上
　　2025年上半年，公司实现营业收入9.14亿元，同比下降0.91%；归母净利润1.54亿元，同比增长23.47%。其中，2025年一季度，...",买入,2025-09-28
华鑫证券-生益电子-688183-公司事件点评报告：业绩高增长兑现，产能扩张+多元化布局驱动中长期成长-250927,"事件
　　公司发布2025年中报：2025年上半年公司实现营业收入37.69亿元，同比增加91.00%；实现归母净利润5.31亿元，同比增加452.11%；实现扣非归母净利润5...",买入,2025-09-28
