,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,26261014813.31,24840405290.2,16161794397.77,15969536368.67
Repayment Of Debt,-113305044766.26,-117170702140.95,-111257568959.27,-113531624468.6
Issuance Of Debt,120797404549.92,125463189160.44,134604599848.24,116567829971.68
Capital Expenditure,-5702574681.59,-6590579648.46,-6012195700.54,-10007475776.92
End Cash Position,99366311310.9,87651936754.64,85854576318.44,79382750664.82
Beginning Cash Position,87651936754.64,85854576318.44,79382750664.82,88995225206.88
Effect Of Exchange Rate Changes,-1593688.1,-39830311.56,186623062.77,-151576878.81
Changes In Cash,11715968244.36,1837190747.76,6285202590.85,-9460897663.25
Financing Cash Flow,-23405376766.01,-17352765697.36,-5874450543.15,-11161393316.69
Net Other Financing Charges,-18995694901.53,-13863180171.17,-14176362268.53,1701142955.45
Cash Dividends Paid,-11157296861.51,-10582322177.97,-13231698800.64,-14107136952.04
Net Issuance Payments Of Debt,7492359783.66,8292487019.49,23347030888.97,3036205503.08
Net Long Term Debt Issuance,7492359783.66,8292487019.49,23347030888.97,3036205503.08
Long Term Debt Payments,-113305044766.26,-117170702140.95,-111257568959.27,-113531624468.6
Long Term Debt Issuance,120797404549.92,125463189160.44,134604599848.24,116567829971.68
Investing Cash Flow,3157755515.47,-12241028493.54,-10014336964.31,-24276516492.15
Net Other Investing Changes,9179909464.73,838187249.43,2842688628.34,-5154379257.89
Net Investment Purchase And Sale,-1082909837.6,-8135280791.18,-6055600683.08,-10022253142.56
Sale Of Investment,2675864133.47,1027944977.53,1324151373.19,2227611230.15
Purchase Of Investment,-3758773971.07,-9163225768.71,-7379752056.27,-12249864372.71
Net Business Purchase And Sale,758572518.51,1639996744.54,-1017269399.2,902839753.32
Sale Of Business,980505164.04,1639996744.54,1091754685.77,2342812939.27
Purchase Of Business,-221932645.53,,-2109024084.97,-1439973185.95
Net PPE Purchase And Sale,-5697816630.17,-6583931696.33,-5784155510.37,-10002723845.02
Sale Of PPE,4758051.42,6647952.13,228040190.17,4751931.9
Purchase Of PPE,-5702574681.59,-6590579648.46,-6012195700.54,-10007475776.92
Capital Expenditure Reported,,,,
Operating Cash Flow,31963589494.9,31430984938.66,22173990098.31,25977012145.59
Change In Working Capital,19219770872.48,17105045699.36,3296034726.85,5155445076.88
Change In Other Current Assets,-462530698.64,1909287553.73,-702208420.41,-2149677834.13
Change In Payable,-56357913503.95,-24301454189.21,-20198760857.5,30175224198.04
Change In Inventory,69311004855.92,41558292345.32,18283359840.64,-27561875271.31
Change In Receivables,6729210219.15,-2061080010.48,5913644164.12,4691773984.28
Other Non Cash Items,2977925544.73,2204357242.91,3171805656.15,3058416856.77
Deferred Tax,,,,
Depreciation And Amortization,3432061876.08,3111238911.92,2631920107.02,2002282018.08
Amortization Cash Flow,102901047.86,88608361.97,66320794.72,53678020.01
Depreciation,3329160828.22,3022630549.95,2565599312.3,1948603998.07
Gain Loss On Investment Securities,-3856152490.41,-2518921280.18,-2488242388.91,-3885020718.79
Gain Loss On Sale Of PPE,-32859692.86,5814767.2,4576519.67,-4885441.25
Net Income From Continuing Operations,4188901524.85,9106230974.83,9098477245.29,15201737074.7
Cash Flowsfromusedin Operating Activities Direct,31963589494.9,31430984938.66,22173990098.31,25977012145.59
Taxes Refund Paid Direct,-18128140804.42,-25763116534.22,-24821982318.8,-26364639399.39
Classesof Cash Payments,-118944803710.47,-149067149703.12,-154941802351.15,-155692381653.66
Other Cash Paymentsfrom Operating Activities,-13010177470.6,-16181874230.4,-15112324092.41,-23699788172.9
Paymentson Behalfof Employees,-7780339709.87,-8052278036.84,-8455714985.35,-7666151157.81
Paymentsto Suppliersfor Goodsand Services,-98154286530.0,-124832997435.88,-131373763273.39,-124326442322.95
Classesof Cash Receiptsfrom Operating Activities,169036534009.79,206261251176.0,201937774768.26,208034033198.64
Other Cash Receiptsfrom Operating Activities,7820437447.22,8629407949.71,13512181731.68,13855850867.61
Receiptsfrom Customers,161216096562.57,197631843226.29,188425593036.58,194178182331.03
