,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-163276487.65,6963279.0,-181411063.62,-576525035.6
Repayment Of Debt,-926903678.09,-787223681.81,-375303184.79,-106059335.47
Issuance Of Debt,790394626.65,815178885.74,661109240.51,949000000.0
Capital Expenditure,-272547590.98,-187049567.99,-320688417.43,-247713328.77
End Cash Position,702700997.54,953755747.04,868829980.8,977353912.06
Beginning Cash Position,953755747.04,868829980.8,977353912.06,957567152.23
Effect Of Exchange Rate Changes,4692520.11,-970357.67,11947883.59,-2704694.42
Changes In Cash,-255747269.61,85896123.91,-120471814.85,22491454.25
Financing Cash Flow,-42732733.25,63882675.77,-140885952.8,553138317.93
Net Other Financing Charges,152098265.7,101157380.01,-393227302.71,-180607142.06
Cash Dividends Paid,-57331840.48,-64108252.84,-33145546.86,-108679411.78
Net Issuance Payments Of Debt,-136509051.44,27955203.93,285806055.72,842940664.53
Net Long Term Debt Issuance,-136509051.44,27955203.93,285806055.72,842940664.53
Long Term Debt Payments,-926903678.09,-787223681.81,-375303184.79,-106059335.47
Long Term Debt Issuance,790394626.65,815178885.74,661109240.51,949000000.0
Investing Cash Flow,-322285639.69,-171999398.85,-118863215.86,-201835156.85
Net Other Investing Changes,-1400000.0,,-30869510.78,
Net Investment Purchase And Sale,-49193533.27,22522169.14,231747049.64,93728054.11
Sale Of Investment,1466366466.73,845857169.14,1161256837.49,1645629484.06
Purchase Of Investment,-1515560000.0,-823335000.0,-929509787.85,-1551901429.95
Net Business Purchase And Sale,,-7600000.0,0.0,-48312782.19
Sale Of Business,,0.0,0.0,
Purchase Of Business,,-7600000.0,0.0,-48312782.19
Net PPE Purchase And Sale,-271692106.42,-186921567.99,-319740754.72,-247250428.77
Sale Of PPE,855484.56,128000.0,947662.71,462900.0
Purchase Of PPE,-272547590.98,-187049567.99,-320688417.43,-247713328.77
Capital Expenditure Reported,,,,
Operating Cash Flow,109271103.33,194012846.99,139277353.81,-328811706.83
Change In Working Capital,76332919.76,-141708380.51,-267834668.61,-609938685.64
Change In Other Current Assets,-28806775.01,-34128900.17,-28990773.45,-13063864.32
Change In Payable,-683829527.35,-81223086.98,494443594.37,1182231472.72
Change In Inventory,33403916.94,515639069.29,440514941.16,-1000560914.67
Change In Receivables,755565305.18,-541995462.65,-1173802430.69,-778545379.37
Other Non Cash Items,64911531.23,61116852.31,56781333.94,35154421.47
Deferred Tax,,,,
Depreciation And Amortization,60352034.07,53468812.08,45185544.01,37009589.42
Amortization Cash Flow,17994139.12,13422495.59,11287333.31,7501952.15
Depreciation,42357894.95,40046316.49,33898210.7,29507637.27
Gain Loss On Investment Securities,-1633211.17,-6747329.03,-12565679.15,-12677649.1
Gain Loss On Sale Of PPE,594798.45,-259602.38,67811.39,-903690.47
Net Income From Continuing Operations,-238952536.44,105992419.35,168274511.42,67940041.12
Cash Flowsfromusedin Operating Activities Direct,109271103.33,194012846.99,139277353.81,-328811706.83
Taxes Refund Paid Direct,-75541381.81,-124950802.91,-97655182.29,-147686789.56
Interest Received Direct,,0.0,0.0,
Interest Paid Direct,,0.0,0.0,
Classesof Cash Payments,-2969193901.36,-3181627274.33,-3368461362.84,-3604952939.16
Other Cash Paymentsfrom Operating Activities,-226516710.59,-313694004.29,-301303567.82,-308665122.19
Paymentson Behalfof Employees,-429621852.23,-433298287.49,-447964834.86,-552796823.72
Paymentsto Suppliersfor Goodsand Services,-2313055338.54,-2434634982.55,-2619192960.16,-2743490993.25
Classesof Cash Receiptsfrom Operating Activities,3154006386.5,3500590924.23,3605393898.94,3423828021.89
Other Cash Receiptsfrom Operating Activities,85533490.49,142166046.6,163737878.79,106710122.86
Receiptsfrom Customers,3068472896.01,3358424877.63,3441656020.15,3317117899.03
