,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,380160000.0,380160000.0,380160000.0,380160000.0
Share Issued,380160000.0,380160000.0,380160000.0,380160000.0
Total Debt,83818323.72,60905674.65,55909193.87,61899133.01
Tangible Book Value,2706149206.92,1989627747.48,1309730321.48,1090766086.36
Invested Capital,2715745216.27,2000285308.4,1311804632.36,1091477684.3
Working Capital,2283250163.3,1747904468.58,1134638925.64,996410466.56
Net Tangible Assets,2706149206.92,1989627747.48,1309730321.48,1090766086.36
Capital Lease Obligations,61130901.91,26269326.84,6237616.86,18475699.34
Common Stock Equity,2715745216.27,2000285308.4,1311304632.36,1090977684.3
Total Capitalization,2715745216.27,2000285308.4,1311304632.36,1090977684.3
Total Equity Gross Minority Interest,2715745216.27,2000285308.4,1311304632.36,1091159993.93
Minority Interest,,,,182309.63
Stockholders Equity,2715745216.27,2000285308.4,1311304632.36,1090977684.3
Retained Earnings,1335080817.37,694199157.3,80473730.89,-112805275.32
Additional Paid In Capital,738448736.53,738448736.53,738448736.53,738448736.53
Capital Stock,380160000.0,380160000.0,380160000.0,380160000.0
Common Stock,380160000.0,380160000.0,380160000.0,380160000.0
Total Liabilities Net Minority Interest,2462931779.12,1779988349.46,2328096283.23,1170042306.2
Total Non Current Liabilities Net Minority Interest,114513808.82,69222349.77,47848780.97,109415156.94
Other Non Current Liabilities,53382906.91,38603545.59,25717802.47,12198119.81
Tradeand Other Payables Non Current,,4349477.34,15893361.64,78741337.79
Long Term Debt And Capital Lease Obligation,61130901.91,26269326.84,6237616.86,18475699.34
Long Term Capital Lease Obligation,61130901.91,26269326.84,6237616.86,18475699.34
Current Liabilities,2348417970.3,1710765999.69,2280247502.26,1060627149.26
Other Current Liabilities,270773.45,799742.77,4850178.98,526994.14
Current Debt And Capital Lease Obligation,22687421.81,34636347.81,49671577.01,43423433.67
Current Debt,,,500000.0,500000.0
Payables,2320798493.71,1611360668.1,2176544354.49,1009522138.63
Other Payable,131197412.25,128238174.25,73346433.58,36806067.39
Total Tax Payable,68955219.11,56350740.52,37764940.75,26971025.23
Accounts Payable,2120645862.35,1426771753.33,2065432980.16,945745046.01
Total Assets,5178676995.39,3780273657.86,3639400915.59,2261202300.13
Total Non Current Assets,547008861.79,321603189.59,224514487.69,204164684.31
Other Non Current Assets,314486841.66,134298276.73,81798430.4,40159659.52
Non Current Deferred Assets,32529085.16,26977021.45,27284757.17,25241923.02
Non Current Deferred Taxes Assets,43106012.93,39934535.48,42415097.61,37515359.51
Long Term Equity Investment,9703078.12,10167673.35,9881289.82,9717254.31
Goodwill And Other Intangible Assets,9596009.35,10657560.92,1574310.88,211597.94
Other Intangible Assets,9596009.35,10657560.92,1574310.88,211597.94
Net PPE,137587834.57,95218644.32,45667240.17,39806779.95
Accumulated Depreciation,-19924409.69,-11213027.33,-7104413.46,-3766316.26
Gross PPE,157512244.26,106431671.65,52771653.63,43573096.21
Construction In Progress,942841.77,0.0,,
Other Properties,100797025.38,51417969.12,25775307.17,37884800.53
Machinery Furniture Equipment,55772377.11,55013702.53,26996346.46,5688295.68
Current Assets,4631668133.6,3458670468.27,3414886427.9,2057037615.82
Other Current Assets,150956524.39,360496931.7,305775688.91,67052539.2
Prepaid Assets,16806396.09,11978267.87,13370380.72,24230146.09
Inventory,747968465.66,798014103.88,901337768.44,457625030.03
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,477896904.87,557934211.65,711189599.14,337177605.78
Raw Materials,270071560.79,240079892.23,190148169.3,120447424.25
Other Receivables,61148786.75,43058326.15,103119067.4,55536141.98
Accounts Receivable,1011706391.5,512516372.97,834738789.6,607652540.58
Allowance For Doubtful Accounts Receivable,-59709475.57,-31483939.56,-47847023.43,-32871309.07
Gross Accounts Receivable,1071415867.07,544000312.53,882585813.03,640523849.65
Cash Cash Equivalents And Short Term Investments,2643081569.21,1732606465.7,1256544732.83,844941217.94
Other Short Term Investments,5210840.33,,,800000.0
Cash And Cash Equivalents,2637870728.88,1732606465.7,1256544732.83,844141217.94
Cash Equivalents,194682550.02,332231430.25,249089607.79,136817068.94
Cash Financial,2637870728.88,1400375035.45,1007455125.04,707324149.0
