,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-4861866673.523554,-3296665369.312332,-3370016212.105991,-3327363817.79742
Tax Rate For Calcs,0.216145,0.209212,0.220899,0.229288
Normalized EBITDA,138797448000.0,142808976000.0,134843466000.0,140923667000.0
Total Unusual Items,-22493539000.0,-15757542000.0,-15255904000.0,-14511754000.0
Total Unusual Items Excluding Goodwill,-22493539000.0,-15757542000.0,-15255904000.0,-14511754000.0
Net Income From Continuing Operation Net Minority Interest,46187099000.0,54264173000.0,50950301000.0,51548576000.0
Reconciled Depreciation,14475471000.0,13944871000.0,12856706000.0,11520610000.0
Reconciled Cost Of Revenue,1971580906000.0,2042723831000.0,1840182381000.0,1677967644000.0
EBITDA,116303909000.0,127051434000.0,119587562000.0,126411913000.0
EBIT,101828438000.0,113106563000.0,106730856000.0,114891303000.0
Net Interest Income,-19529476000.0,-17368571000.0,-16329982000.0,-13141560000.0
Interest Expense,21791488000.0,20111090000.0,17895421000.0,13853118000.0
Interest Income,4232170000.0,4573352000.0,3913677000.0,3195369000.0
Normalized Income,63818771326.47645,66725049630.68767,62836188787.89401,62732966182.20258
Net Income From Continuing And Discontinued Operation,46187099000.0,54264173000.0,50950301000.0,51548576000.0
Total Expenses,2069217212000.0,2143773433000.0,1941122422000.0,1772820145000.0
Rent Expense Supplemental,2043673000.0,1911849000.0,1978734000.0,2244792000.0
Total Operating Income As Reported,80560948000.0,93132307000.0,86733086000.0,100752452000.0
Diluted Average Shares,41609999099.0,41423032824.0,41423008943.0,41238860800.0
Basic Average Shares,41609999099.0,41423032824.0,41423008943.0,41238860800.0
Diluted EPS,1.11,1.31,1.23,1.25
Basic EPS,1.11,1.31,1.23,1.25
Net Income Common Stockholders,46187099000.0,54264173000.0,50950301000.0,51548576000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,46187099000.0,54264173000.0,50950301000.0,51548576000.0
Minority Interests,-16550262000.0,-19275540000.0,-18261462000.0,-26322816000.0
Net Income Including Noncontrolling Interests,62737361000.0,73539713000.0,69211763000.0,77871392000.0
Net Income Continuous Operations,62737361000.0,73539713000.0,69211763000.0,77871392000.0
Tax Provision,17299589000.0,19455760000.0,19623672000.0,23166793000.0
Pretax Income,80036950000.0,92995473000.0,88835435000.0,101038185000.0
Other Non Operating Income Expenses,-523998000.0,-135032000.0,2006679000.0,115555000.0
Special Income Charges,-19506694000.0,-14073047000.0,-13082026000.0,-12306171000.0
Other Special Charges,-583667000.0,-229435000.0,-465690000.0,-327051000.0
Write Off,13633668000.0,8596270000.0,8591904000.0,9212752000.0
Impairment Of Capital Assets,6456693000.0,5706212000.0,4955812000.0,3420470000.0
Net Non Operating Interest Income Expense,-19529476000.0,-17368571000.0,-16329982000.0,-13141560000.0
Total Other Finance Cost,1970158000.0,1830833000.0,2348238000.0,2483811000.0
Interest Expense Non Operating,21791488000.0,20111090000.0,17895421000.0,13853118000.0
Interest Income Non Operating,4232170000.0,4573352000.0,3913677000.0,3195369000.0
Operating Income,117930627000.0,121755811000.0,113929648000.0,119886162000.0
Operating Expense,97636306000.0,101049602000.0,100940041000.0,94852501000.0
Other Operating Expenses,9775326000.0,14311655000.0,11755217000.0,14895238000.0
Depreciation And Amortization In Income Statement,2473586000.0,2491110000.0,2231884000.0,2091349000.0
Depreciation Income Statement,2473586000.0,2491110000.0,2231884000.0,2091349000.0
Research And Development,45459339000.0,46073572000.0,49753236000.0,40019753000.0
Selling General And Administration,14491626000.0,13216300000.0,11809302000.0,11851533000.0
Selling And Marketing Expense,7698147000.0,6578700000.0,5641403000.0,5017969000.0
General And Administrative Expense,6793479000.0,6637600000.0,6167899000.0,6833564000.0
Rent And Landing Fees,2043673000.0,1911849000.0,1978734000.0,2244792000.0
Gross Profit,215566933000.0,222805413000.0,214869689000.0,214738663000.0
Cost Of Revenue,1971580906000.0,2042723831000.0,1840182381000.0,1677967644000.0
Total Revenue,2187147839000.0,2265529244000.0,2055052070000.0,1892706307000.0
Operating Revenue,2187147839000.0,2265529244000.0,2055052070000.0,1892706307000.0
