,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,846455998.0,784296800.0,782876800.0,774776800.0
Share Issued,846455998.0,784296800.0,782876800.0,774776800.0
Net Debt,605581238.94,350367842.38,143007493.25,
Total Debt,1992305645.05,1746740896.89,1426233445.7,2647165443.31
Tangible Book Value,9207892481.88,8238894113.29,7765753067.01,7262184944.5
Invested Capital,11901208587.31,10504297979.64,9481345876.81,10211544903.39
Working Capital,3625940401.8,3120450680.53,3249364658.74,4483540492.3
Net Tangible Assets,9207892481.88,8238894113.29,7765753067.01,7262184944.5
Capital Lease Obligations,3813009.66,4191876.37,6045457.8,11190697.27
Common Stock Equity,10077284400.74,9128455285.4,8478154323.26,7943323060.48
Total Capitalization,10356621031.9,9557010486.23,9176124793.96,10155251123.35
Total Equity Gross Minority Interest,10565356168.2,9577584664.28,8736549257.22,8121772190.99
Minority Interest,488071767.46,449129378.88,258394933.96,178449130.51
Stockholders Equity,10077284400.74,9128455285.4,8478154323.26,7943323060.48
Treasury Stock,568690322.41,102781000.0,89100000.0,
Retained Earnings,5844836327.97,5348307104.97,4755770816.36,4261695063.26
Additional Paid In Capital,3446571455.3,2637555364.0,2640562336.18,2558002304.37
Capital Stock,846455998.0,784296800.0,782876800.0,774776800.0
Common Stock,846455998.0,784296800.0,782876800.0,774776800.0
Total Liabilities Net Minority Interest,4168075781.14,3879350271.07,3758582918.68,5524941644.04
Total Non Current Liabilities Net Minority Interest,678610602.55,844249107.93,1333806554.08,2875889131.64
Other Non Current Liabilities,,,,340500000.0
Tradeand Other Payables Non Current,43000000.0,63000000.0,320500000.0,340500000.0
Non Current Deferred Revenue,251453321.89,247866724.85,228669753.97,241152785.73
Non Current Deferred Taxes Liabilities,101007639.84,100635305.88,80620871.61,71117585.77
Long Term Debt And Capital Lease Obligation,283149640.82,432747077.2,704015928.5,2223118760.14
Long Term Capital Lease Obligation,3813009.66,4191876.37,6045457.8,11190697.27
Long Term Debt,279336631.16,428555200.83,697970470.7,2211928062.87
Current Liabilities,3489465178.59,3035101163.14,2424776364.6,2649052512.4
Other Current Liabilities,56374857.8,29424369.98,14057620.28,16029106.47
Current Debt And Capital Lease Obligation,1709156004.23,1313993819.69,722217517.2,424046683.17
Current Debt,1544587555.41,947287493.41,305221082.85,56293780.04
Payables,1549782098.27,1617108963.19,1570915244.14,2098434649.31
Other Payable,303627984.92,286650453.56,325318213.87,218782478.34
Dividends Payable,13882209.93,10860679.44,9897168.97,12064933.06
Total Tax Payable,74602406.67,94061552.56,25412697.42,32888902.66
Accounts Payable,1157669496.75,1225536277.63,1210287163.88,1834698335.25
Total Assets,14733431949.34,13456934935.35,12495132175.9,13646713835.03
Total Non Current Assets,7618026368.95,7301383091.68,6820991152.56,6514120830.33
Other Non Current Assets,136026702.3,222555346.88,187940899.65,212312388.14
Non Current Deferred Assets,24336395.06,26061696.18,25431397.44,35747899.04
Non Current Deferred Taxes Assets,118038475.89,85916602.21,96849861.39,131360503.39
Investmentin Financial Assets,32720219.93,39718435.01,25207896.42,47955396.42
Available For Sale Securities,32720219.93,39718435.01,25207896.42,47955396.42
Long Term Equity Investment,46282981.71,40364000.22,41411570.42,40542279.18
Investment Properties,6640446.32,7530743.36,1699299.7,10360055.25
Goodwill And Other Intangible Assets,869391918.86,889561172.11,712401256.25,681138115.98
Other Intangible Assets,862458795.1,882628048.35,712401256.25,681138115.98
Goodwill,6933123.76,6933123.76,,
Net PPE,6382387362.09,5984987306.64,5725191054.13,5348840954.19
Accumulated Depreciation,,-2952377372.12,-2578168597.13,-2165841322.41
Gross PPE,6382387362.09,8937364678.76,8303359651.26,7514682276.6
Construction In Progress,1351420193.58,1188385250.76,1956264728.44,2014347248.76
Other Properties,5030967168.51,619352710.66,578007134.75,520455926.27
Machinery Furniture Equipment,,4983691490.34,3794684286.08,3254231292.59
Buildings And Improvements,,,,
Properties,,2145935227.0,1974403501.99,1725647808.98
Current Assets,7115405580.39,6155551843.67,5674141023.34,7132593004.7
Other Current Assets,446014735.36,322969484.26,532101517.9,467093480.02
Prepaid Assets,418440769.64,232992277.18,292548772.66,473981119.35
Inventory,1826213740.7,1413863911.69,1343963522.7,1519165371.63
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,854176629.84,561853993.95,551967816.24,628095405.7
Work In Process,118796791.84,158771954.82,147305900.73,292869985.42
Raw Materials,853240319.02,693237962.92,644689805.73,598199980.51
Other Receivables,1164770548.41,1360168594.66,1077494590.43,784885416.92
Accounts Receivable,2041622838.65,1800082724.02,1561725559.35,1345275163.47
Allowance For Doubtful Accounts Receivable,,-149701791.35,-134192059.65,-174056027.99
Gross Accounts Receivable,,1949784515.37,1695917619.0,1519331191.46
Cash Cash Equivalents And Short Term Investments,1218342947.63,1025474851.86,866307060.3,2542192453.31
Other Short Term Investments,,,6123000.0,791000.0
Cash And Cash Equivalents,1218342947.63,1025474851.86,860184060.3,2541401453.31
Cash Equivalents,187950705.78,183817121.53,58751859.87,494021661.78
Cash Financial,1030392241.85,841657730.33,801432200.43,2047379791.53
